"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007159","BP","GO:0007159","leukocyte cell-cell adhesion","67/2006","430/18986",0.155813953488372,1.47471770734309,3.42238922212277,0.000749545829782707,0.0386597646516374,0.0341376635179619,"3118/5105/6279/6280/384/1840/912/101/11314/51148/7704/23149/64127/64115/6402/3718/3678/240/2309/7805/5175/23308/55824/135/1051/960/1604/27242/3689/26191/3566/1326/2615/6541/868/6693/6461/57178/50512/4860/6793/4092/27/10318/10507/7048/23476/3654/51043/5777/80381/6484/5465/1445/6777/445/5573/6595/86/2302/3902/51176/30835/6441/1524/6469/6401",67
"GO:1903035","BP","GO:1903035","negative regulation of response to wounding","22/2006","101/18986",0.217821782178218,2.06159738605964,3.67674876269395,0.000737957190754778,0.0383930249763986,0.0339021248549037,"6696/7143/5054/89790/4846/22915/7056/5329/5270/634/240/5345/114897/5580/6774/5777/10019/2137/23332/9860/9856/55966",22
"GO:0031968","CC","GO:0031968","organelle outer membrane","41/2101","252/19960",0.162698412698413,1.54567363991448,2.98996300554218,0.00317125550235691,0.0372349137431906,0.0324032095794363,"6663/3099/221481/597/4128/4504/1267/8408/5138/3162/85450/2309/4257/7316/120892/8165/1375/1717/10058/2182/2180/664/665/445/9868/54470/6843/25875/345778/340061/132671/79877/84987/670/84816/55750/64757/84303/79691/201164/91543",41
"GO:0002177","CC","GO:0002177","manchette","8/2101","25/19960",0.32,3.04007615421228,3.50075816601632,0.00310832326783252,0.0371362832525253,0.0323173776507794,"8100/84223/79925/54585/200373/84688/65975/286187",8
"GO:0007389","BP","GO:0007389","pattern specification process","73/2006","476/18986",0.153361344537815,1.45150472950895,3.42897637576403,0.00070676324694749,0.0370926711095336,0.0327538756826357,"4036/7704/7093/2246/56917/9355/9289/23500/3911/650/28996/4242/57453/8553/6911/6405/649/2114/55502/23462/9645/22856/54567/1952/5362/4851/2648/5046/7048/1855/64853/4213/8312/9371/83852/23314/2263/55081/284086/90/4487/51098/199221/129880/83538/84100/57619/7026/23322/55764/51626/7547/2926/55130/25911/58524/339829/55329/50937/84976/146845/2302/128344/161582/201164/64446/55172/4488/51176/5013/6469/6423/343930",73
"GO:0005604","CC","GO:0005604","basement membrane","19/2101","92/19960",0.206521739130435,1.96200567017776,3.17211056572014,0.00300486375580978,0.0365412896019011,0.0317995920022727,"7076/7399/3371/340267/3911/333/1284/1282/285613/79812/6693/1955/977/3912/59277/1296/7045/158326/4147",19
"GO:0045762","BP","GO:0045762","positive regulation of adenylate cyclase activity","9/2006","25/18986",0.36,3.40725822532403,4.1396534582919,0.000680627975323677,0.0360371431536421,0.0318218147009738,"57413/2696/140/84876/6786/10487/9495/49/3973",9
"GO:0031646","BP","GO:0031646","positive regulation of nervous system process","11/2006","35/18986",0.314285714285714,2.97459051417177,4.01880491610551,0.000670272606878277,0.0358057232763636,0.0316174644165608,"6663/4099/118738/745/5129/7143/1143/3673/3687/7133/57555",11
"GO:0016358","BP","GO:0016358","dendrite development","42/2006","239/18986",0.175732217573222,1.66323623272442,3.54652664209663,0.000661934267645106,0.0356788533632493,0.0315054347018567,"2861/56896/11141/114788/1136/9201/50944/26050/51225/120114/57580/1942/7804/57555/1608/4776/1952/85358/120892/84079/7533/10458/50488/80312/10507/1855/23613/23191/9912/3066/4139/23316/378/4135/84816/80823/84879/158866/9856/51473/4147/115703",42
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix","64/2101","430/19960",0.148837209302326,1.41398890893594,2.97663551416574,0.00278449758297796,0.0344771428001453,0.0300032945304611,"60484/12/51129/10631/6590/63827/6279/6280/7076/7143/5054/7399/183/10418/5265/3371/389084/57642/22915/10085/56999/5803/150356/7052/340267/5270/3911/9518/4015/51162/4256/333/5345/1284/1282/285613/6275/7450/5352/79812/161198/6693/5046/1512/1955/977/308/2263/3912/2239/5660/59277/1296/50937/2162/1297/7045/90187/158326/4147/81621/6469/335/6423",64
"GO:0008017","MF","GO:0008017","microtubule binding","50/2054","280/18737",0.178571428571429,1.62896439004034,3.72071239384924,0.000348081614053398,0.0339959709725485,0.0312968117898888,"6279/6280/118611/4137/84722/3800/23255/9832/342184/1410/4600/25777/57662/11104/120892/90990/84501/93323/9448/54820/256364/29911/23095/6786/54930/10844/51199/23332/83473/63971/27072/9371/11092/26146/9702/79884/151393/4135/65055/55259/56890/64147/84142/3832/80129/1069/440585/2258/23281/158297",50
"GO:0030246","MF","GO:0030246","carbohydrate binding","50/2054","280/18737",0.178571428571429,1.62896439004034,3.72071239384924,0.000348081614053398,0.0339959709725485,0.0312968117898888,"6900/4099/63827/8972/3099/26253/8778/89790/112399/26290/27036/27181/27180/11226/23601/5806/114805/6402/5507/1272/283208/59271/22918/3824/6518/5818/374378/5352/161198/8974/5033/2584/4122/5836/2548/131544/221120/2589/2591/1297/158326/648791/89792/30835/6441/49/80201/85329/165530/6401",50
"GO:0031091","CC","GO:0031091","platelet alpha granule","19/2101","91/19960",0.208791208791209,1.98356617204785,3.22544857044574,0.0026392791370979,0.0335011566193524,0.0291539549836856,"5473/12/7076/5054/5265/22915/3690/7422/5270/3674/5175/5345/94121/7450/87/54863/10916/2162/5099",19
"GO:0036126","CC","GO:0036126","sperm flagellum","36/2101","212/19960",0.169811320754717,1.61324795919284,3.07890528746578,0.00265647937950812,0.0335011566193524,0.0291539549836856,"8632/220004/5906/11092/64800/8100/85452/6103/84223/79925/11020/57639/158787/93190/154865/27285/642987/84288/257044/64147/55329/339778/146845/200373/84688/79846/149465/53340/440585/254956/343521/389799/64446/202500/84075/158297",36
"GO:0008064","BP","GO:0008064","regulation of actin polymerization or depolymerization","30/2006","153/18986",0.196078431372549,1.85580513361875,3.65311018545404,0.000611699970474195,0.0332709174849737,0.029379159347464,"10344/822/256949/7111/342184/23500/146206/89848/3059/81553/7454/57580/9168/10435/5581/90952/9026/274/5580/10458/85464/91663/1955/23580/51429/5216/6711/23191/5217/10602",30
