,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000215244,30.48411632,2.037750654,0.428623429,4.754174681,1.99E-06,0.000673708
ENSG00000229807,1296.775287,2.037440474,1.619139029,1.258348071,0.208265903,0.654273538
ENSG00000124762,958.3260078,2.036498212,0.461595053,4.411871827,1.02E-05,0.002256687
ENSG00000115602,383.3398384,2.033629557,1.210945974,1.679372657,0.093079439,0.508710588
ENSG00000211896,10.13910918,2.026807753,0.790494634,2.563974081,0.010348127,0.204949205
ENSG00000055955,20.09265355,2.011072804,0.625545677,3.214909604,0.001304856,0.063069858
ENSG00000013441,829.2156224,2.003411046,0.484152699,4.137973518,3.50E-05,0.005393678
ENSG00000270504,73.44371422,2.002015979,0.489286409,4.091705676,4.28E-05,0.006285089
ENSG00000274333,86.91937237,1.997933618,2.230638712,0.895677819,0.37042486,0.776428466
ENSG00000150782,30.93447143,1.996950443,1.183359741,1.687526095,NA,NA
ENSG00000233232,26.5805298,1.993557713,0.596425345,3.342510053,0.000830243,0.048072875
ENSG00000197249,69.29668509,1.987771191,0.566923579,3.506241873,0.000454482,0.032969971
ENSG00000149573,38.59526353,1.983641514,0.60939902,3.255078281,0.001133611,0.058167462
ENSG00000164430,41.1201014,1.980914023,0.552979763,3.582254098,0.000340642,0.027214007
ENSG00000291263,37.16141529,1.976019719,0.566514103,3.488032704,0.000486589,0.034635593
ENSG00000225361,69.99859703,1.973065555,0.471887824,4.181217341,2.90E-05,0.004807027
ENSG00000099875,2248.680174,1.967710763,0.44600789,4.41182949,1.03E-05,0.002256687
ENSG00000290554,19.15987588,1.966767814,0.85401378,2.302969648,0.021280551,0.285628766
ENSG00000286132,18.5110556,1.96658309,0.810274368,2.427058249,0.015221812,0.246109202
ENSG00000145623,245.1841083,1.957021375,0.357450044,5.474950711,4.38E-08,3.36E-05
ENSG00000168542,36.40747489,1.9420527,1.05873868,1.834307878,0.066608305,0.455656729
ENSG00000090339,193.7071613,1.940599093,0.456840013,4.247874616,2.16E-05,0.003818795
ENSG00000160183,94.00348561,1.939063419,0.522303103,3.712525178,0.000205202,0.019234098
ENSG00000142178,67.21227754,1.934234498,1.368608729,1.413285227,0.157571876,0.600640184
ENSG00000072682,438.8323434,1.929139239,0.390179203,4.944239022,7.64E-07,0.000314641
ENSG00000095585,21.50934372,1.914110047,0.764120879,2.504983308,NA,NA
ENSG00000135063,295.3025317,1.911657229,0.37054913,5.158984533,2.48E-07,0.000117529
ENSG00000196616,22.68170912,1.908123227,0.703972701,2.710507415,0.006718035,0.164233012
ENSG00000221963,304.0319579,1.906036116,0.343237575,5.553110309,2.81E-08,2.31E-05
ENSG00000204677,122.9677769,1.905641937,0.33452761,5.696516161,1.22E-08,1.22E-05
ENSG00000213139,20.2634186,1.89717202,0.749294446,2.531944591,0.011343191,0.216068397
ENSG00000234719,33.74710641,1.888910228,0.752147946,2.511354631,0.012026881,0.222597226
